"","Name","Party","Rank","VoteCount","VoteShare","Title"
"1","Robert T. Kellam","Democratic Party","1 of 2","10,267","51.7%","Election Results for 1977 General Election, Alderman, Ward 18, Chicago, IL"
"2","Andrew J. Mcgann","Democratic Party","2 of 2","9,584","48.3%","Election Results for 1977 General Election, Alderman, Ward 18, Chicago, IL"
"3","Robert T. Kellam","Democratic Party","1 of 6","8,925","45.0%","Election Results for 1977 Primary Election, Alderman, Ward 18, Chicago, IL"
"4","Andrew J. Mcgann","Democratic Party","2 of 6","7,391","37.2%","Election Results for 1977 Primary Election, Alderman, Ward 18, Chicago, IL"
"5","Monica F. Stewart","Democratic Party","3 of 6","1,974","9.9%","Election Results for 1977 Primary Election, Alderman, Ward 18, Chicago, IL"
"6","Walter K. Klitz","Democratic Party","4 of 6","657","3.3%","Election Results for 1977 Primary Election, Alderman, Ward 18, Chicago, IL"
"7","Joseph C. Ziegler","Democratic Party","5 of 6","516","2.6%","Election Results for 1977 Primary Election, Alderman, Ward 18, Chicago, IL"
"8","Walter A. Perkins Iii","Democratic Party","6 of 6","389","2.0%","Election Results for 1977 Primary Election, Alderman, Ward 18, Chicago, IL"
"9","Ross Harano","Democratic Party","1 of 1","6,238","100.0%","Election Results for 1978 General Election, Alderman, Ward 48, Chicago, IL"
"10","Ross Harano","Democratic Party","1 of 5","4,965","46.3%","Election Results for 1978 Primary Election, Alderman, Ward 48, Chicago, IL"
"11","Marion Kennedy Volini","Democratic Party","2 of 5","4,637","43.2%","Election Results for 1978 Primary Election, Alderman, Ward 48, Chicago, IL"
"12","Terry B. Brauer","Democratic Party","3 of 5","1,123","10.5%","Election Results for 1978 Primary Election, Alderman, Ward 48, Chicago, IL"
"13","Buchanan","Democratic Party","4 of 5","1","0.0%","Election Results for 1978 Primary Election, Alderman, Ward 48, Chicago, IL"
"14","James Stoyas","Democratic Party","4 of 5","1","0.0%","Election Results for 1978 Primary Election, Alderman, Ward 48, Chicago, IL"
