"","Name","First_Election","Second_Election","First_Primary","Second_Primary","First_General","Second_General","First_Special","Second_Special","First_Year","Second_Year","Ward","Incumbency","Second_Win"
"1","Alan R. Mercado",84.4262295081967,40.020366598778,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1991","1999","12",0,0
"2","Alex Adams",20.6296992481203,24.1753977493209,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1991","1995","1",0,0
"3","Allan Streeter",126.138002059732,370.074475287745,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1982","1987","17",1,1
"4","Aloysius A. Majerczyk",116.342312153628,114.166261545941,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1979","1983","12",1,1
"5","Ambrosio Medrano",100,100.959429824561,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1991","25",0,1
"6","Anna R. Langford",100,105.834892422825,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1979","1983","16",0,1
"7","Annette Moore",6.58292626192138,14.4997173544375,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1986","1987","15",0,0
"8","Anthony C. Laurino",284.511385199241,617.073170731707,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1979","1987","39",1,1
"9","Arenda Troutman",177.580702376729,223.312883435583,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1991","1995","2",1,1
"10","Arthur Jones",18.1985294117647,85.296442687747,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1979","1987","21",0,0
"11","August Sallas",96.551724137931,52.5477707006369,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1987","1999","22",0,0
"12","Barbara Holt",107.976878612717,147.531572904707,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"1995","1999","5",1,1
"13","Benjamin Rosado",100,29.0882778581766,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1986","1987","31",0,0
"14","Bernard C. Robinson, Sr.",4.05186385737439,43.75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1991","1995","15",0,0
"15","Bernard J. Hansen",115.548927162513,185.363615508144,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","44",1,1
"16","Bernetta Pearson",14.1545110750945,29.7715549005158,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1991","1999","15",0,0
"17","Billy Ocasio",374.688279301746,128.248587570621,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1995","1999","26",1,1
"18","Bobby Rush",113.598475827578,250.200601805416,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1983","1987","2",1,1
"19","Brian G. Doherty",117.815011113011,387.431023911711,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"1991","1995","41",1,1
"20","Bruce E. Crosby",5.33898305084746,51.0267579340386,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1986","1991","18",0,0
"21","Burt Sillins",100,17.9787234042553,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"1987","1991","3",0,0
"22","Carole Bialczak",285.425531914894,100,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"1991","1995","3",1,0
